"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Austin Carr","NO","0.7","7.3","0.1","0.0","0.0","0.0","0.0","1.3"
"Cody Core","NYG","0.8","8.7","0.1","0.0","0.0","0.0","0.0","1.3"
"Diontae Johnson","PIT","0.7","8.2","0.1","0.0","0.0","0.0","0.0","1.2"
"Auden Tate","CIN","1.1","12.0","0.0","0.0","0.0","0.0","0.0","1.2"
"DeAndre Carter","HOU","0.7","10.6","0.0","0.1","0.5","0.0","0.0","1.2"
"Chris Moore","BAL","0.6","7.9","0.0","0.2","1.7","0.0","0.0","1.2"
"Bobo Wilson","TB","0.7","7.7","0.1","0.0","0.0","0.0","0.0","1.2"
"Riley Ridley","CHI","0.7","9.4","0.0","0.0","0.0","0.0","0.0","1.2"
"Justin Hardy","ATL","0.8","8.0","0.1","0.0","0.0","0.0","0.0","1.1"
"Chester Rogers","IND","0.9","9.4","0.0","0.0","0.0","0.0","0.0","1.1"
"Byron Marshall","WAS","0.5","7.0","0.0","0.0","0.2","0.0","0.0","0.9"
"Ryan Grant","OAK","0.7","7.2","0.0","0.0","0.0","0.0","0.0","0.9"
"Josh Bellamy","NYJ","0.5","5.3","0.1","0.0","0.0","0.0","0.0","0.9"
"Dwayne Harris","OAK","0.5","5.9","0.0","0.1","0.8","0.0","0.0","0.9"
"Damion Ratley","CLE","0.6","6.7","0.0","0.0","0.0","0.0","0.0","0.8"
"Darius Slayton","NYG","0.6","7.0","0.0","0.1","1.0","0.0","0.0","0.8"
"Trent Taylor","SF","1.2","8.0","0.0","0.0","0.0","0.0","0.0","0.8"
"Juwann Winfree","DEN","0.6","8.0","0.0","0.0","0.0","0.0","0.0","0.8"
"Derrick Willies","CLE","0.5","5.6","0.0","0.0","0.0","0.0","0.0","0.8"
"Jehu Chesson","WAS","0.5","5.7","0.0","0.0","0.0","0.0","0.0","0.8"
"Trevor Davis","GB","0.5","5.7","0.0","0.0","0.0","0.0","0.0","0.7"
"Mack Hollins","PHI","0.4","5.1","0.0","0.1","0.5","0.0","0.0","0.7"
"Russell Gage","ATL","0.5","6.0","0.0","0.0","0.0","0.0","0.0","0.7"
"Travis Fulgham","DET","0.6","7.0","0.0","0.0","0.0","0.0","0.0","0.7"
"Andre Roberts","BUF","0.6","5.6","0.0","0.0","0.0","0.0","0.0","0.6"
"Jaleel Scott","BAL","0.5","6.0","0.0","0.0","0.0","0.0","0.0","0.6"
"Deonte Harris","NO","0.5","6.0","0.0","0.0","0.0","0.0","0.0","0.6"
"Darius Jennings","TEN","0.5","5.1","0.0","0.0","0.1","0.0","0.0","0.6"
"Brandon Zylstra","CAR","0.3","4.1","0.0","0.0","0.0","0.0","0.0","0.5"
"Diontae Spencer","DEN","0.4","5.0","0.0","0.0","0.0","0.0","0.0","0.5"
"John Ursua","SEA","0.4","5.0","0.0","0.0","0.0","0.0","0.0","0.5"
"Malik Turner","SEA","0.3","3.7","0.0","0.0","0.0","0.0","0.0","0.5"
"Geremy Davis","LAC","0.3","2.9","0.0","0.2","1.0","0.0","0.0","0.5"
"Zach Pascal","IND","0.5","4.5","0.0","0.0","0.0","0.0","0.0","0.5"
"Ray-Ray McCloud","CAR","0.3","3.5","0.0","0.0","0.0","0.0","0.0","0.5"
"Isaiah McKenzie","BUF","0.2","2.9","0.0","0.2","1.1","0.0","0.0","0.5"
"Scott Miller","TB","0.4","4.0","0.0","0.0","0.0","0.0","0.0","0.4"
"Byron Pringle","KC","0.3","4.0","0.0","0.0","0.0","0.0","0.0","0.4"
"Darrius Shepherd","GB","0.3","4.0","0.0","0.0","0.0","0.0","0.0","0.4"
"C.J. Board","JAC","0.3","4.0","0.0","0.0","0.0","0.0","0.0","0.4"
"Damiere Byrd","ARI","0.2","2.9","0.0","0.0","0.0","0.0","0.0","0.4"
"Isaac Whitney","HOU","0.2","2.6","0.0","0.0","0.0","0.0","0.0","0.4"
"Gehrig Dieter","KC","0.2","2.5","0.0","0.0","0.0","0.0","0.0","0.4"
"Kalif Raymond","TEN","0.3","3.0","0.0","0.0","0.0","0.0","0.0","0.4"
"Trent Sherfield","ARI","0.3","2.7","0.0","0.0","0.0","0.0","0.0","0.3"
"Javon Wims","CHI","0.2","3.0","0.0","0.0","0.0","0.0","0.0","0.3"
"Brittan Golden","NYG","0.2","2.6","0.0","0.0","0.0","0.0","0.0","0.3"
"Isaiah Ford","MIA","0.2","2.6","0.0","0.0","0.0","0.0","0.0","0.3"
"Braxton Berrios","NYJ","0.2","2.0","0.0","0.1","1.0","0.0","0.0","0.3"
"Devin Smith","DAL","0.2","2.5","0.0","0.0","0.0","0.0","0.0","0.3"
"Pharoh Cooper","CIN","0.2","1.9","0.0","0.1","0.4","0.0","0.0","0.3"
"Nick Williams","SF","0.2","1.8","0.0","0.0","0.0","0.0","0.0","0.2"
"Richie James","SF","0.2","1.8","0.0","0.0","0.0","0.0","0.0","0.2"
"Mike Thomas","LAR","0.1","2.0","0.0","0.0","0.0","0.0","0.0","0.2"
"JoJo Natson","LAR","0.1","1.5","0.0","0.0","0.0","0.0","0.0","0.2"
"Khadarel Hodge","CLE","0.1","1.8","0.0","0.0","0.0","0.0","0.0","0.2"
"Gunner Olszewski","NE","0.2","2.0","0.0","0.0","0.0","0.0","0.0","0.2"
"Steven Sims","WAS","0.2","2.0","0.0","0.0","0.0","0.0","0.0","0.2"
"Nsimba Webster","LAR","0.2","2.0","0.0","0.0","0.0","0.0","0.0","0.2"
"Robert Davis","WAS","0.2","2.0","0.0","0.0","0.0","0.0","0.0","0.2"
"Olamide Zaccheaus","ATL","0.1","1.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Noah Brown","DAL","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Marcus Johnson","IND","0.1","0.8","0.0","0.0","0.0","0.0","0.0","0.1"
"Matt Slater","NE","0.0","0.2","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
