Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
TE,Blake Jarwin (13041119),Blake Jarwin,13041119,TE/FLEX,2700,NYG@DAL 09/08/2019 04:25PM ET,DAL,4.88634502895865
RB,Alexander Mattison (13041813),Alexander Mattison,13041813,RB/FLEX,3800,ATL@MIN 09/08/2019 01:00PM ET,MIN,4.74918519655144
TE,Charles Clay (13040657),Charles Clay,13040657,TE/FLEX,2700,DET@ARI 09/08/2019 04:25PM ET,ARI,4.71304930751936
WR,Mecole Hardman (13041791),Mecole Hardman,13041791,WR/FLEX,4100,KC@JAX 09/08/2019 01:00PM ET,KC,4.66701503521575
WR,Terry McLaurin (13041497),Terry McLaurin,13041497,WR/FLEX,3300,WAS@PHI 09/08/2019 01:00PM ET,WAS,4.58638541498001
RB,Gus Edwards (13041183),Gus Edwards,13041183,RB/FLEX,3100,BAL@MIA 09/08/2019 01:00PM ET,BAL,4.31292127418425
WR,Seth Roberts (13041113),Seth Roberts,13041113,WR/FLEX,3000,BAL@MIA 09/08/2019 01:00PM ET,BAL,4.28569858935875
RB,Ryquell Armstead (13041728),Ryquell Armstead,13041728,RB/FLEX,3000,KC@JAX 09/08/2019 01:00PM ET,JAX,4.25692886346139
TE,Jonnu Smith (13041204),Jonnu Smith,13041204,TE/FLEX,2700,TEN@CLE 09/08/2019 01:00PM ET,TEN,4.18171168120076
TE,Hayden Hurst (13041684),Hayden Hurst,13041684,TE/FLEX,2700,BAL@MIA 09/08/2019 01:00PM ET,BAL,4.15483079282169
WR,Josh Doctson (13040868),Josh Doctson,13040868,WR/FLEX,3900,ATL@MIN 09/08/2019 01:00PM ET,MIN,4.14238566766878
WR,Chris Hogan (13040849),Chris Hogan,13040849,WR/FLEX,3300,LAR@CAR 09/08/2019 01:00PM ET,CAR,4.10551643608849
RB,Darren Sproles (13040593),Darren Sproles,13040593,RB/FLEX,3100,WAS@PHI 09/08/2019 01:00PM ET,PHI,4.09334974984085
TE,Ian Thomas (13041811),Ian Thomas,13041811,TE/FLEX,2800,LAR@CAR 09/08/2019 01:00PM ET,CAR,4.02188151399066
RB,Adrian Peterson (13040616),Adrian Peterson,13040616,RB/FLEX,3700,WAS@PHI 09/08/2019 01:00PM ET,WAS,4.01976668168123
WR,Chris Moore (13040941),Chris Moore,13040941,WR/FLEX,3200,BAL@MIA 09/08/2019 01:00PM ET,BAL,3.96577582756902
WR,Jakeem Grant (13040919),Jakeem Grant,13040919,WR/FLEX,3000,BAL@MIA 09/08/2019 01:00PM ET,MIA,3.94038540459774
WR,Chester Rogers (13041105),Chester Rogers,13041105,WR/FLEX,3300,IND@LAC 09/08/2019 04:05PM ET,IND,3.90050168361541
